id,codalu,"Código
Curso","N° Total de
Repeticiones"
1,20174023K,GE001,2
1,20060088F,CO823,2
1,20060088F,EC211,5
1,20060088F,ES731,2
1,20060088F,HH333,2
1,20165524K,CB411,2
1,20165524K,TV114,2
1,20122027E,HH333,2
1,20071138J,EC521,2
1,20171433C,FI203,2
1,20171433C,MA113,2
1,20171433C,MA114,2
1,20132104B,EE610,2
1,20111022G,EE515,2
1,20141189G,MA185,2
1,20144501A,EE635,2
1,20144501A,MA185,2
1,20172212K,CB411,2
1,20131206F,EE341,2
1,20131206F,MA185,2
1,20171280B,CB411,2
1,20160254E,EE341,2
1,20131138K,EC119,2
1,20171451A,CB411,2
1,20172155G,CB411,2
1,20120370D,EE112,2
1,20120370D,MA185,2
1,20152515H,EE341,2
1,20160343H,FI204,2
1,20161254I,MA133,2
1,20171335A,CB411,2
1,20154574A,FI403,2
1,20170253A,MA123,2
1,20161265K,MA123,2
1,19730012K,EE225,4
1,20172584E,FI203,2
1,20172584E,MA113,2
1,20140473C,EC119,2
1,20140473C,EE112,2
1,20172685F,CB411,2
1,20172685F,FI203,2
1,20144027H,EE635,2
1,20141330A,EE411,2
1,20160647G,EE341,2
1,20171223I,FI203,2
1,20171075J,CB411,2
1,20171274B,FI203,2
1,20171274B,MA113,2
1,20140325D,MA185,2
1,20150277B,FI204,2
1,20174119H,FI203,2
1,20132210G,EE635,2
1,20162740D,MA133,2
1,20162740D,MA195,2
1,20042571K,EE211,2
1,20042571K,EE353,2
1,20042571K,EE610,2
1,20175501C,QU111,2
1,20162753I,MA195,2
1,20140285B,EE635,2
1,20145503H,EE225,2
1,20170297I,CB411,2
1,20131216A,EE210,2
1,20131339F,EE112,2
1,20171454K,CB411,2
1,20154534J,MA143,2
1,20162046K,FI904,2
1,20141001H,FI463,2
1,20141001H,MA185,2
1,20171202A,FI203,2
1,20171202A,MA114,2
1,20171327I,CB411,2
1,20171327I,FI203,2
1,20080390J,EE211,2
1,20152688J,EE341,2
1,20171384B,FI203,2
1,20114508H,EE111,2
1,20114508H,MA195,2
1,20141026K,EE111,2
1,20151226B,MA185,2
1,20171476D,FI203,2
1,20140467C,FI403,2
1,20140467C,MA713,2
1,20140365F,EE635,2
1,20124043H,EE210,2
1,20152041F,EE112,2
1,20171346C,CB411,2
1,20171346C,FI203,2
1,20172661J,CB411,2
1,20172661J,FI203,2
1,20172661J,MA113,2
1,20172064A,MA123,2
1,20152087F,MA133,2
1,20152193K,EE341,2
1,20171393A,CB411,2
1,20171483K,FI203,2
1,20171483K,MA113,2
1,20171246I,CB411,2
1,20171340E,FI203,2
1,20171340E,MA113,2
1,20164527F,MA133,2
1,20162199A,AHD65,2
1,20120040D,IT145,2
1,20120040D,IT524,2
1,20041016C,EE521,2
1,20041016C,EE615,2
1,20041016C,EE635,2
1,20171325F,CB411,2
1,20171325F,MA113,2
1,20171325F,MA114,2
1,20160436F,MA611,2
1,20160436F,MA713,2
1,20162181E,EE341,2
1,20152662K,EE112,2
1,20150412G,EE341,2
1,20150412G,FI904,2
1,20100126K,IT145,2
1,20164157D,FI403,2
1,20140319D,EE411,2
1,20140505B,FI403,2
1,20160208C,FI463,2
1,20160208C,MA143,2
1,20160208C,MA195,2
1,20151194C,EE635,2
1,20142681B,CB411,2
1,20142681B,FI204,2
1,20142681B,MA123,2
1,20142625E,EE341,2
1,20130286F,EE211,2
1,20142696J,EE111,2
1,20142696J,MA195,2
1,20150268C,FI204,2
1,20161214G,CB411,2
1,20161214G,FI204,2
1,20161214G,MA123,2
1,20121237F,MA195,2
1,20171198D,CB411,2
1,20171198D,FI203,2
1,20171198D,MA113,2
1,20171198D,MA114,2
1,20150157G,EE635,2
1,20150195F,EE341,2
1,20150195F,MA185,2
1,20101026J,EE610,2
1,20121312H,IP101,2
1,20124087E,IT255,2
1,20132602B,EE635,2
1,20131057K,EE112,2
1,20142052E,EE635,2
1,20171423H,CB411,2
1,20171423H,FI203,2
1,20160426K,MA611,2
1,20120270J,EE112,2
1,20152690D,MA133,2
1,20172652K,FI203,2
1,20172652K,MA113,2
1,20172652K,MA114,2
1,20141404E,EE341,2
1,20141404E,MA185,2
1,20171412F,CB411,2
1,20162646H,CB412,2
1,20162646H,MA133,2
1,20171220J,CB411,2
1,20150046K,EE111,2
1,20130193H,EE210,2
1,20171289J,CB411,2
1,20152201C,MA195,2
1,20152201C,MA611,2
1,20171299E,FI203,2
1,20171299E,MA113,2
1,20171299E,MA114,2
1,20140256B,MA185,2
1,20121159E,EE635,2
1,20132707I,EE521,2
1,20160375G,MA133,2
1,20160375G,MA195,2
1,20160375G,MA611,2
1,20172703D,CB411,2
1,20160315D,FI403,2
1,20101032J,EE421,2
1,20101032J,MA185,2
1,20101032J,MA195,2
1,20141079G,EE635,2
1,20141079G,MA185,2
1,20171446H,MA113,2
1,20170338G,MA114,2
1,20140340C,FI904,2
1,20140340C,MA713,2
1,20161473B,MA123,2
1,20162014A,FI403,2
1,20162014A,MA713,2
1,20161165F,MA133,2
1,20122508C,EC119,3
1,20172682G,FI203,2
1,20160193F,EC119,2
1,20160193F,MA713,2
1,20141401F,MA143,2
1,20172690J,CB411,2
1,20172690J,MA113,2
1,20160226A,FI403,2
1,20160226A,MA133,2
1,20160226A,MA713,2
1,20171478G,CB411,2
1,20141184E,EE111,2
1,20141184E,EE341,2
1,20141184E,FI904,2
1,20141183I,EE635,2
1,20162178D,EE341,2
1,20091041A,EE545,2
1,20161292H,FI204,2
1,20161292H,MA123,2
1,20151390G,MA133,2
1,20161011I,FI403,2
1,20161011I,MA133,2
1,19971094E,EE411,8
1,19971094E,HH221,8
1,20150082G,EE610,2
1,20095501G,EE635,4
1,20171375C,CB411,2
1,20170337K,MA123,2
1,20130346I,EE111,2
1,20060163H,EM111,2
1,20060163H,HH221,2
1,20130339B,EE364,2
1,20070216G,EE411,2
1,20070182E,EM221,2
1,20121225H,EE610,2
1,19984519J,EE210,8
1,19984519J,EE421,8
1,20160415I,EP111,2
1,20160415I,MA123,2
1,20162656C,MA123,2
1,20171415E,CB411,2
1,20121209B,MA195,2
1,20172107B,EP111,2
1,20172107B,MA123,2
1,20091178G,EE441,2
1,20171424D,EP399,2
1,20171424D,FI203,2
1,20160631C,EC119,2
1,20160631C,EE340,2
1,20160631C,MA611,2
1,20120357H,EE411,2
1,20120357H,MA185,2
1,20132566F,EE523,2
1,20120302I,MA611,2
1,20120302I,MA713,2
1,20061118F,IP101,2
1,20061118F,IT524,2
1,20171248A,CB411,2
1,20161178K,FI204,2
1,20161178K,MA123,2
1,20162168I,EC119,2
1,20120390E,IT433,2
1,20171468A,CB411,2
1,20171468A,MA113,2
1,20150371I,EE635,2
1,20160502I,FI403,2
1,20154072F,MA611,2
1,20160247I,EE341,2
1,20160247I,MA713,2
1,20140162H,EE635,2
1,20151343I,MA195,2
1,20171380G,CB411,2
1,20171380G,FI203,2
1,20171380G,MA113,2
1,20152675E,MA195,2
1,20171354F,CB411,2
1,20171354F,FI203,2
1,20171354F,MA113,2
1,20122503A,CI106,2
1,20122090I,EE341,2
1,20161269F,FI403,2
1,20172600K,CB411,2
1,20121227K,EE211,2
1,20131172D,CB411,2
1,20121176G,EE210,2
1,20121176G,EE637,2
1,20172698K,CB411,2
1,20140445J,FI904,2
1,20120315C,EE354,2
1,20075506C,CB412,2
1,20075506C,FI904,2
1,20075506C,MA195,5
1,20130254G,EE363,2
1,20171440J,CB411,2
1,20171440J,FI203,2
1,20171365H,FI203,2
1,20171365H,MA114,2
1,20150308E,EE341,2
1,20170376F,EP399,2
1,20170376F,MA123,2
1,20160391B,EC119,2
1,20160391B,MA611,2
1,20144566F,MA611,2
1,20172654C,FI203,2
1,20172654C,MA113,2
1,20142120K,CB412,2
1,20142120K,MA195,2
1,20142120K,MA611,2
1,20004037K,MA133,4
