enterga,codcur,codalu,nveces,codperiodo,codcar
1,EE111,20160153D,2,2019I,L1
1,MA713,20165514E,2,2019I,L1
1,CB411,20170338G,2,2019I,L1
1,FI403,20162157G,2,2019I,L1
1,EC119,20160193F,2,2019I,L1
1,CB411,19823006K,2,2019I,L1
1,CB411,20171309K,2,2019I,L1
1,CB411,20180330I,2,2019I,L1
1,CB411,20164546K,2,2019I,L1
1,EE211,20091178G,2,2019I,L1
1,EC119,20160631C,2,2019I,L1
1,EC119,20162168I,2,2019I,L1
1,MA185,20140412D,2,2019I,L1
1,EE354,20120403J,2,2019I,L1
1,QU111,20171365H,2,2019I,L1
1,HH221,20150308E,2,2019I,L1
1,EC119,20160391B,2,2019I,L1
1,EE111,19920117H,2,2019I,L1
1,EC119,20162169E,2,2019I,L1
1,CB411,20154532G,2,2019I,L1
1,EE211,20101171J,2,2019I,L1
1,EM111,20144066C,2,2019I,L1
1,MA195,20121202H,2,2019I,L1
1,EC119,20150225B,2,2019I,L1
1,EP111,20171145H,2,2019I,L1
1,MA114,20182131C,2,2019I,L1
1,EE214,20120264J,2,2019I,L1
1,MA124,20172662F,2,2019I,L1
1,CB411,20174045D,2,2019I,L1
1,MA114,20180293F,2,2019I,L1
1,EP399,20182097J,2,2019I,L1
1,EE340,20111214C,2,2019I,L1
1,EE111,20160637A,2,2019I,L1
1,EM111,20041109A,2,2019I,L1
1,FI204,20170412B,2,2019I,L1
1,AU511,20172702H,2,2019I,L1
1,EE131,20142676I,2,2019I,L1
1,EE615,19961180F,2,2019I,L1
1,EE521,20142118F,2,2019I,L1
1,AU511,20171444E,2,2019I,L1
1,MA113,20180301I,2,2019I,L2
1,FI204,20171280B,2,2019I,L2
1,EE421,20031018C,2,2019I,L2
1,EE421,20124517J,2,2019I,L2
1,CB411,20152650B,2,2019I,L2
1,EE524,20102522K,2,2019I,L2
1,EE111,20071028J,2,2019I,L2
1,EE521,20133003E,2,2019I,L2
1,EE341,20164120C,2,2019I,L2
1,MA124,20170235C,2,2019I,L2
1,EE421,20150134G,2,2019I,L2
1,EC119,20152152B,2,2019I,L2
1,EE111,20154534J,2,2019I,L2
1,MA143,20141286B,2,2019I,L2
1,AU511,20172128J,2,2019I,L2
1,EE423,20132682F,2,2019I,L2
1,MA195,20114508H,2,2019I,L2
1,EE422,20124043H,2,2019I,L2
1,EE635,20150357F,2,2019I,L2
1,EE524,20142065J,2,2019I,L2
1,MA124,20172064A,2,2019I,L2
1,EE625,19790513F,2,2019I,L2
1,EE422,20127033C,2,2019I,L2
1,FI403,20161211H,2,2019I,L2
1,EE637,20150123E,2,2019I,L2
1,FI204,20170169K,2,2019I,L2
1,FI204,20161214G,2,2019I,L2
1,EE610,20132515B,2,2019I,L2
1,EE422,20131063K,2,2019I,L2
1,IP101,20122573J,2,2019I,L2
1,EE514,19900086J,2,2019I,L2
1,FI203,20120123G,2,2019I,L2
1,FI403,20162109B,2,2019I,L2
1,FI403,20161240H,2,2019I,L2
1,EE111,20160131K,2,2019I,L2
1,EE210,20112013A,2,2019I,L2
1,EE131,20131141A,2,2019I,L2
1,EC119,20122508C,2,2019I,L2
1,EE513,19951025H,2,2019I,L2
1,EE514,20141294E,2,2019I,L2
1,EE422,20150082G,2,2019I,L2
1,EE524,20134015G,2,2019I,L2
1,EE521,20150371I,2,2019I,L2
1,MA113,20180222A,2,2019I,L2
1,EE616,20145025I,2,2019I,L2
1,EE112,20177509A,2,2019I,L2
1,MA123,20170480H,2,2019I,L2
1,FI204,20174048C,2,2019I,L2
1,EE637,20125005B,2,2019I,L2
1,CB411,20160121E,2,2019I,L2
1,EE422,20134531E,2,2019I,L2
1,CB411,20142623B,2,2019I,L2
1,EE112,20151162D,2,2019I,L2
1,EE421,20152061G,2,2019I,L2
1,IP101,20131175C,2,2019I,L2
1,EE111,20110013D,2,2019I,L2
1,CB411,20150306B,2,2019I,L2
1,CB411,19813104J,2,2019I,L2
1,EE435,19930068J,2,2019I,L2
1,CB411,20091096K,2,2019I,L2
1,EC119,20121050C,2,2019I,L2
1,EC119,20142629K,2,2019I,L2
1,EE524,20131442A,2,2019I,L2
1,EE435,20120210G,2,2019I,L2
1,AU511,20172639D,2,2019I,L2
1,MA113,20182144H,2,2019I,L2
1,EE637,20150172F,2,2019I,L2
1,EE112,20141177I,2,2019I,L2
1,EE210,20142012C,2,2019I,L2
1,EC119,20041011A,2,2019I,L2
1,EE112,20150394I,2,2019I,L2
1,CB411,20182101G,2,2019I,L2
1,EP111,20171301J,2,2019I,L3
1,EE111,20101167B,2,2019I,L3
1,EE112,20154023E,2,2019I,L3
1,AHD65,20170445H,2,2019I,L3
1,MA124,20160343H,2,2019I,L3
1,FI204,20161265K,2,2019I,L3
1,EC119,20140473C,2,2019I,L3
1,EE112,20141330A,2,2019I,L3
1,IT514,20132210G,2,2019I,L3
1,CB123,20152647A,2,2019I,L3
1,FI403,20162740D,2,2019I,L3
1,FI204,20175501C,2,2019I,L3
1,MA195,20162753I,2,2019I,L3
1,EE524,20151294H,2,2019I,L3
1,EE521,20131339F,2,2019I,L3
1,FI204,20170461C,2,2019I,L3
1,CB411,20172661J,2,2019I,L3
1,EE525,20141370C,2,2019I,L3
1,IP101,20122066K,2,2019I,L3
1,FI463,20150385J,2,2019I,L3
1,EE411,20121317J,2,2019I,L3
1,EE341,20160208C,2,2019I,L3
1,CB411,20142681B,2,2019I,L3
1,IT255,20131392D,2,2019I,L3
1,IT524,20060164D,2,2019I,L3
1,MA133,20162167B,2,2019I,L3
1,EE525,20132602B,2,2019I,L3
1,EE341,20152690D,2,2019I,L3
1,MA195,20152201C,2,2019I,L3
1,FI403,20154578G,2,2019I,L3
1,MA195,20160375G,2,2019I,L3
1,EP111,20161473B,2,2019I,L3
1,CB411,20180391H,2,2019I,L3
1,MA123,20172682G,2,2019I,L3
1,EP111,20170471I,2,2019I,L3
1,CB411,20184169H,2,2019I,L3
1,QU111,20172690J,2,2019I,L3
1,MA185,20141408K,2,2019I,L3
1,EE411,20151354K,2,2019I,L3
1,CI101,20130402F,2,2019I,L3
1,CB411,20180481G,2,2019I,L3
1,FI403,20172107B,2,2019I,L3
1,EE111,20122120E,2,2019I,L3
1,MA133,20160638H,2,2019I,L3
1,EE521,20120357H,2,2019I,L3
1,EC119,20142688G,2,2019I,L3
1,MA195,20030093A,2,2019I,L3
1,MA133,20160502I,2,2019I,L3
1,EE341,20142692D,2,2019I,L3
1,MA195,20151343I,2,2019I,L3
1,EE111,20141373B,2,2019I,L3
1,MA195,20152675E,2,2019I,L3
1,CB411,20171354F,2,2019I,L3
1,CB123,20140445J,2,2019I,L3
1,FI904,20075506C,2,2019I,L3
1,IT524,20141245D,2,2019I,L3
1,QU111,20182105B,2,2019I,L3
1,IT213,20140346A,2,2019I,L3
1,EE524,20131186E,2,2019I,L3
1,FI403,20162193C,2,2019I,L3
1,CB411,20182238B,2,2019I,L3
1,IT215,20112556E,2,2019I,L3
1,FI403,20162117E,2,2019I,L3
1,EE524,20124523J,2,2019I,L3
1,EE341,20120348I,2,2019I,L3
1,IT255,20140421C,2,2019I,L3
1,AHD65,20150416B,2,2019I,L3
1,MA133,20172121E,2,2019I,L3
