id,"Código
Curso",codalu,"N° Total de
Repeticiones",cosperidod
1,FI204,20170141I,2,2018II
1,CB213,20141152F,2,2018II
1,SA253,20060239D,2,2018II
1,CB412,20110138A,2,2018II
1,CO822,20110138A,2,2018II
1,HH113,20090318J,2,2018II
1,CB311,20164154E,2,2018II
1,EC111,20164154E,2,2018II
1,GE001,20164154E,2,2018II
1,FI204,20170023F,2,2018II
1,HH113,20127010C,2,2018II
1,CB114,20171040A,2,2018II
1,CB411,20122017J,2,2018II
1,ES831,20110060B,2,2018II
1,ES934,20110060B,2,2018II
1,CO823,20131051B,2,2018II
1,EC935,20060373B,2,2018II
1,EC521,20000202G,4,2018II
1,CB211,20140085C,2,2018II
1,TV661,20121083I,2,2018II
1,EP111,20162510I,2,2018II
1,HH113,20081285E,2,2018II
1,GE831,20122045C,2,2018II
1,EC513,20030349F,3,2018II
1,HH113,19980422A,2,2018II
1,HH113,20072539H,2,2018II
1,TV513,20072539H,2,2018II
1,EC211,20071187K,2,2018II
1,ES731,20071187K,2,2018II
1,SA253,20071187K,2,2018II
1,TV113,20141090K,2,2018II
1,CB101,20175026C,2,2018II
1,EC111,20175026C,2,2018II
1,EC611,20175026C,2,2018II
1,HH113,20140019K,2,2018II
1,ES731,20130064C,2,2018II
1,ES831,20110131G,2,2018II
1,HH224,20140079C,2,2018II
1,EC211,20142055D,2,2018II
1,EC513,20142055D,2,2018II
1,GE001,20174023K,2,2018II
1,CO823,20060088F,2,2018II
1,EC211,20060088F,5,2018II
1,ES731,20060088F,2,2018II
1,HH333,20060088F,2,2018II
1,CB411,20165524K,2,2018II
1,TV114,20165524K,2,2018II
1,HH333,20122027E,2,2018II
1,EC521,20071138J,2,2018II
1,FI203,20171433C,2,2018II
1,MA113,20171433C,2,2018II
1,MA114,20171433C,2,2018II
1,EE610,20132104B,2,2018II
1,EE515,20111022G,2,2018II
1,MA185,20141189G,2,2018II
1,EE635,20144501A,2,2018II
1,MA185,20144501A,2,2018II
1,CB411,20172212K,2,2018II
1,EE341,20131206F,2,2018II
1,MA185,20131206F,2,2018II
1,CB411,20171280B,2,2018II
1,EE341,20160254E,2,2018II
1,EC119,20131138K,2,2018II
1,CB411,20171451A,2,2018II
1,CB411,20172155G,2,2018II
1,EE112,20120370D,2,2018II
1,MA185,20120370D,2,2018II
1,EE341,20152515H,2,2018II
1,FI204,20160343H,2,2018II
1,MA133,20161254I,2,2018II
1,CB411,20171335A,2,2018II
1,FI403,20154574A,2,2018II
1,MA123,20170253A,2,2018II
1,MA123,20161265K,2,2018II
1,EE225,19730012K,4,2018II
1,FI203,20172584E,2,2018II
1,MA113,20172584E,2,2018II
1,EC119,20140473C,2,2018II
1,EE112,20140473C,2,2018II
1,CB411,20172685F,2,2018II
1,FI203,20172685F,2,2018II
1,EE635,20144027H,2,2018II
1,EE411,20141330A,2,2018II
1,EE341,20160647G,2,2018II
1,FI203,20171223I,2,2018II
1,CB411,20171075J,2,2018II
1,FI203,20171274B,2,2018II
1,MA113,20171274B,2,2018II
1,MA185,20140325D,2,2018II
